"cluster","gene","grouping"
"1176","api1783","EfaB_MINUS_13227.g1183","conserved"
"1177","api1784","EfaB_MINUS_22450.g1955","conserved"
"1178","api1786","EfaB_MINUS_34010.g2554","conserved"
"1179","api1788","EfaB_MINUS_1001.g113","conserved"
"1180","api1789","EfaB_PLUS_32574.g2346","conserved"
"1181","api1791","EfaB_MINUS_34010.g2527","conserved"
"1182","api1792","EfaB_PLUS_17907.g1555","conserved"
"1183","api1793","EfaB_MINUS_56725.g2956","conserved"
"1184","api1795","EfaB_MINUS_56725.g2941","conserved"
"1185","api1796","EfaB_PLUS_24701.g2020","conserved"
"1186","api1797","EfaB_PLUS_14978.g1237","conserved"
"1187","api1798","EfaB_MINUS_11882.g1052","conserved"
"1188","api1801","EfaB_PLUS_5792.g553","ApicomplexaC"
"1189","api1803","EfaB_MINUS_28918.g2341","conserved"
"1190","api1804","EfaB_MINUS_56725.g2959","conserved"
"1191","api1805","EfaB_MINUS_13222.g1132","Eimeria"
"1192","api1806","EfaB_MINUS_28105.g2307","conserved"
"1193","api1807","EfaB_MINUS_2288.g244","conserved"
"1194","api1808","EfaB_PLUS_193.g6","Eimeria"
"1195","api1808","EfaB_PLUS_17089.g1451","Eimeria"
"1196","api1808","EfaB_MINUS_7048.g636","Eimeria"
"1197","api1808","EfaB_MINUS_7048.g637","Eimeria"
"1198","api1808","EfaB_PLUS_7048.g677","Eimeria"
"1199","api1808","EfaB_PLUS_25458.g2090","Eimeria"
"1200","api1808","EfaB_PLUS_49504.g2703","Eimeria"
"1201","api1809","EfaB_MINUS_10824.g923","conserved"
"1202","api1810","EfaB_MINUS_15576.g1336","conserved"
"1203","api1811","EfaB_MINUS_20371.g1748","conserved"
"1204","api1812","EfaB_MINUS_21840.g1879","conserved"
"1205","api1813","EfaB_MINUS_43143.g2725","ApicomplexaC"
"1206","api1814","EfaB_MINUS_43533.g2782","ApicomplexaC"
"1207","api1815","EfaB_MINUS_53301.g2877","Apicomplexa"
"1208","api1816","EfaB_MINUS_56725.g2935","conserved"
"1209","api1817","EfaB_PLUS_1068.g137","ApicomplexaC"
"1210","api1818","EfaB_PLUS_13398.g1170","Apicomplexa"
"1211","api1819","EfaB_PLUS_17907.g1535","ApicomplexaC"
"1212","api182","EfaB_MINUS_2387.g279","conserved"
"1213","api182","EfaB_PLUS_15648.g1311","conserved"
"1214","api1820","EfaB_PLUS_20412.g1708","conserved"
"1215","api1821","EfaB_PLUS_25458.g2091","Coccidia"
"1216","api1821","EfaB_PLUS_25458.g2092","Coccidia"
"1217","api183","EfaB_PLUS_3469.g348","conserved"
"1218","api184","EfaB_MINUS_15765.g1445","conserved"
"1219","api184","EfaB_MINUS_15765.g1444","conserved"
"1220","api184","EfaB_PLUS_2336.g260","conserved"
"1221","api1849","EfaB_PLUS_1425.g164","conserved"
"1222","api1850","EfaB_MINUS_7048.g635","conserved"
"1223","api1851","EfaB_PLUS_11882.g1025","ApicomplexaC"
"1224","api1852","EfaB_MINUS_11414.g1003","conserved"
"1225","api1853","EfaB_MINUS_1974.g229","conserved"
"1226","api1854","EfaB_MINUS_28261.g2335","conserved"
"1227","api1855","EfaB_MINUS_6743.g605","ApicomplexaC"
"1228","api1856","EfaB_PLUS_56725.g2793","ApicomplexaC"
"1229","api1858","EfaB_PLUS_15576.g1291","conserved"
"1230","api1859","EfaB_PLUS_56725.g2817","conserved"
"1231","api186","EfaB_PLUS_1068.g150","ApicomplexaC"
"1232","api186","EfaB_MINUS_20371.g1794","ApicomplexaC"
"1233","api186","EfaB_PLUS_20371.g1695","ApicomplexaC"
"1234","api186","EfaB_PLUS_1068.g149","ApicomplexaC"
"1235","api1860","EfaB_MINUS_42416.g2689","ApicomplexaC"
"1236","api1861","EfaB_PLUS_15899.g1412","conserved"
"1237","api1862","EfaB_MINUS_15349.g1314","ApicomplexaC"
"1238","api1863","EfaB_PLUS_720.g50","ApicomplexaC"
"1239","api1864","EfaB_PLUS_15899.g1409","conserved"
"1240","api1865","EfaB_MINUS_43533.g2728","ApicomplexaC"
"1241","api1866","EfaB_PLUS_20412.g1745","ApicomplexaC"
"1242","api1867","EfaB_MINUS_56725.g2920","conserved"
"1243","api1869","EfaB_MINUS_52892.g2867","conserved"
"1244","api1871","EfaB_PLUS_25177.g2060","conserved"
"1245","api1872","EfaB_MINUS_800.g79","conserved"
"1246","api1873","EfaB_PLUS_4114.g418","conserved"
"1247","api1874","EfaB_PLUS_56725.g2854","conserved"
"1248","api1876","EfaB_MINUS_12302.g1075","ApicomplexaC"
"1249","api1877","EfaB_PLUS_9917.g888","ApicomplexaC"
"1250","api1878","EfaB_PLUS_11233.g967","conserved"
"1251","api1879","EfaB_PLUS_10843.g912","ApicomplexaC"
"1252","api1880","EfaB_MINUS_15576.g1323","conserved"
"1253","api1882","EfaB_MINUS_24117.g2090","conserved"
"1254","api1883","EfaB_PLUS_7752.g803","conserved"
"1255","api1884","EfaB_MINUS_20412.g1797","conserved"
"1256","api1885","EfaB_MINUS_15349.g1293","conserved"
"1257","api1886","EfaB_PLUS_26792.g2164","conserved"
"1258","api1887","EfaB_PLUS_15899.g1399","conserved"
"1259","api1888","EfaB_MINUS_49504.g2800","conserved"
"1260","api1889","EfaB_MINUS_26415.g2238","conserved"
"1261","api189","EfaB_PLUS_3973.g401","conserved"
"1262","api189","EfaB_PLUS_7048.g655","conserved"
"1263","api1890","EfaB_MINUS_24117.g2071","conserved"
"1264","api1891","EfaB_PLUS_1700.g190","ApicomplexaC"
"1265","api1892","EfaB_MINUS_26136.g2230","ApicomplexaC"
"1266","api1896","EfaB_MINUS_1363.g185","conserved"
"1267","api1897","EfaB_MINUS_22240.g1895","conserved"
"1268","api1898","EfaB_PLUS_28203.g2235","Apicomplexa"
"1269","api1898","EfaB_MINUS_5788.g517","Apicomplexa"
"1270","api1899","EfaB_PLUS_31498.g2309","Apicomplexa"
"1271","api190","EfaB_PLUS_12616.g1086","conserved"
"1272","api1900","EfaB_PLUS_13385.g1165","ApicomplexaC"
"1273","api1901","EfaB_PLUS_22450.g1848","ApicomplexaC"
"1274","api1902","EfaB_PLUS_27262.g2186","conserved"
"1275","api1903","EfaB_PLUS_7048.g682","conserved"
"1276","api1904","EfaB_PLUS_56725.g2797","ApicomplexaC"
"1277","api1905","EfaB_PLUS_20412.g1717","conserved"
"1278","api1907","EfaB_MINUS_37748.g2604","conserved"
"1279","api1908","EfaB_PLUS_58361.g2874","conserved"
"1280","api1909","EfaB_MINUS_37748.g2599","conserved"
"1281","api191","EfaB_PLUS_21840.g1793","conserved"
"1282","api1910","EfaB_PLUS_8817.g868","conserved"
"1283","api1911","EfaB_PLUS_21549.g1777","ApicomplexaC"
"1284","api1912","EfaB_MINUS_20412.g1823","conserved"
"1285","api1913","EfaB_PLUS_720.g58","ApicomplexaC"
"1286","api1914","EfaB_MINUS_32574.g2464","conserved"
"1287","api1915","EfaB_MINUS_5670.g476","conserved"
"1288","api1916","EfaB_MINUS_2526.g309","conserved"
"1289","api1917","EfaB_PLUS_14978.g1231","conserved"
"1290","api1918","EfaB_MINUS_17907.g1626","conserved"
"1291","api1919","EfaB_PLUS_22450.g1823","conserved"
"1292","api1920","EfaB_MINUS_7742.g730","conserved"
"1293","api1921","EfaB_PLUS_26415.g2151","Apicomplexa"
"1294","api1922","EfaB_MINUS_20371.g1772","ApicomplexaC"
"1295","api1923","EfaB_MINUS_17400.g1565","conserved"
"1296","api1924","EfaB_PLUS_1903.g202","ApicomplexaC"
"1297","api1926","EfaB_MINUS_32574.g2462","ApicomplexaC"
"1298","api1927","EfaB_PLUS_20437.g1749","conserved"
"1299","api1928","EfaB_MINUS_7048.g664","conserved"
"1300","api1929","EfaB_PLUS_56725.g2799","conserved"
"1301","api193","EfaB_PLUS_28105.g2229","conserved"
"1302","api1930","EfaB_PLUS_56725.g2821","conserved"
"1303","api1931","EfaB_MINUS_31498.g2411","conserved"
"1304","api1933","EfaB_PLUS_20437.g1756","conserved"
"1305","api1934","EfaB_MINUS_42996.g2712","conserved"
"1306","api1935","EfaB_PLUS_36188.g2488","conserved"
"1307","api1936","EfaB_PLUS_13222.g1108","conserved"
"1308","api1937","EfaB_MINUS_53301.g2885","conserved"
"1309","api1938","EfaB_PLUS_16835.g1434","ApicomplexaC"
"1310","api1939","EfaB_PLUS_720.g60","ApicomplexaC"
"1311","api194","EfaB_MINUS_15576.g1349","conserved"
"1312","api1940","EfaB_PLUS_13227.g1140","ApicomplexaC"
"1313","api1941","EfaB_MINUS_7048.g677","conserved"
"1314","api1943","EfaB_PLUS_10843.g916","ApicomplexaC"
"1315","api1944","EfaB_MINUS_25458.g2187","conserved"
"1316","api1946","EfaB_MINUS_17764.g1592","conserved"
"1317","api1947","EfaB_PLUS_16835.g1432","ApicomplexaC"
"1318","api1948","EfaB_MINUS_19717.g1706","conserved"
"1319","api1949","EfaB_MINUS_14774.g1234","conserved"
"1320","api1950","EfaB_MINUS_31498.g2398","conserved"
"1321","api1952","EfaB_PLUS_38343.g2529","ApicomplexaC"
"1322","api1954","EfaB_PLUS_4789.g442","conserved"
"1323","api1955","EfaB_PLUS_34010.g2434","conserved"
"1324","api1956","EfaB_PLUS_49504.g2686","conserved"
"1325","api1957","EfaB_MINUS_7048.g685","conserved"
"1326","api1958","EfaB_MINUS_56725.g2949","conserved"
"1327","api1959","EfaB_MINUS_1974.g212","ApicomplexaC"
"1328","api1961","EfaB_PLUS_30201.g2262","conserved"
"1329","api1963","EfaB_MINUS_32574.g2466","conserved"
"1330","api1965","EfaB_PLUS_25398.g2085","conserved"
"1331","api1966","EfaB_MINUS_6035.g566","ApicomplexaC"
"1332","api1967","EfaB_MINUS_21549.g1857","conserved"
"1333","api1968","EfaB_PLUS_15899.g1398","conserved"
"1334","api1969","EfaB_MINUS_11030.g953","conserved"
"1335","api197","EfaB_PLUS_23210.g1937","conserved"
"1336","api197","EfaB_MINUS_15576.g1325","conserved"
"1337","api1970","EfaB_PLUS_1068.g141","ApicomplexaC"
"1338","api1971","EfaB_PLUS_11124.g949","Apicomplexa"
"1339","api1972","EfaB_MINUS_17096.g1526","ApicomplexaC"
"1340","api1973","EfaB_PLUS_11135.g962","conserved"
"1341","api1974","EfaB_MINUS_17096.g1516","conserved"
"1342","api1975","EfaB_MINUS_7048.g691","conserved"
"1343","api1976","EfaB_PLUS_17096.g1479","conserved"
"1344","api1978","EfaB_MINUS_2387.g274","conserved"
"1345","api1979","EfaB_PLUS_25190.g2070","conserved"
"1346","api1980","EfaB_MINUS_33184.g2487","conserved"
"1347","api1981","EfaB_PLUS_11414.g1004","conserved"
"1348","api1982","EfaB_MINUS_11414.g1002","conserved"
"1349","api1983","EfaB_MINUS_26831.g2261","conserved"
"1350","api1984","EfaB_MINUS_31746.g2430","conserved"
"1351","api1985","EfaB_MINUS_15899.g1459","conserved"
"1352","api1986","EfaB_PLUS_1068.g136","conserved"
"1353","api1987","EfaB_PLUS_24074.g1961","conserved"
"1354","api1988","EfaB_PLUS_14978.g1220","conserved"
"1355","api1989","EfaB_PLUS_16916.g1447","conserved"
"1356","api1990","EfaB_MINUS_17907.g1623","conserved"
"1357","api1991","EfaB_PLUS_5767.g514","conserved"
"1358","api1994","EfaB_PLUS_25398.g2083","Apicomplexa"
"1359","api1995","EfaB_PLUS_28105.g2217","Apicomplexa"
"1360","api1996","EfaB_MINUS_20412.g1824","ApicomplexaC"
"1361","api1998","EfaB_PLUS_22240.g1808","Apicomplexa"
"1362","api2000","EfaB_MINUS_7048.g670","ApicomplexaC"
"1363","api2002","EfaB_PLUS_3833.g380","Apicomplexa"
"1364","api2002","EfaB_MINUS_3833.g373","Apicomplexa"
"1365","api2003","EfaB_MINUS_7048.g678","Eimeria"
"1366","api2004","EfaB_PLUS_497.g45","Coccidia"
"1367","api2005","EfaB_PLUS_32574.g2359","ApicomplexaC"
"1368","api2006","EfaB_PLUS_15349.g1269","conserved"
"1369","api2008","EfaB_MINUS_25190.g2156","Coccidia"
"1370","api2008","EfaB_MINUS_17195.g1554","Coccidia"
"1371","api2009","EfaB_PLUS_6743.g635","Eimeria"
"1372","api2009","EfaB_MINUS_6743.g619","Eimeria"
"1373","api2010","EfaB_PLUS_16835.g1445","Eimeria"
"1374","api2011","EfaB_MINUS_34010.g2548","Eimeria"
"1375","api2011","EfaB_PLUS_34010.g2455","Eimeria"
"1376","api2012","EfaB_MINUS_6097.g570","Eimeria"
"1377","api2014","EfaB_PLUS_7048.g706","Coccidia"
"1378","api2015","EfaB_PLUS_42996.g2613","conserved"
"1379","api2016","EfaB_PLUS_33854.g2427","Coccidia"
"1380","api2017","EfaB_MINUS_13222.g1143","Eimeria"
"1381","api2017","EfaB_PLUS_13222.g1110","Eimeria"
"1382","api2018","EfaB_MINUS_6710.g587","Apicomplexa"
"1383","api2019","EfaB_MINUS_20371.g1783","conserved"
"1384","api2022","EfaB_PLUS_20371.g1689","conserved"
"1385","api2023","EfaB_PLUS_20371.g1672","conserved"
"1386","api2026","EfaB_PLUS_52892.g2764","conserved"
"1387","api2027","EfaB_PLUS_25458.g2114","ApicomplexaC"
"1388","api2028","EfaB_PLUS_6743.g606","ApicomplexaC"
"1389","api2029","EfaB_PLUS_15576.g1287","ApicomplexaC"
"1390","api2035","EfaB_PLUS_25177.g2067","conserved"
"1391","api2038","EfaB_PLUS_26136.g2132","conserved"
"1392","api2039","EfaB_MINUS_34010.g2539","conserved"
"1393","api204","EfaB_MINUS_18869.g1679","conserved"
"1394","api204","EfaB_PLUS_228.g28","conserved"
"1395","api2041","EfaB_MINUS_3833.g375","conserved"
"1396","api2043","EfaB_MINUS_31151.g2366","conserved"
"1397","api2044","EfaB_PLUS_50714.g2733","conserved"
"1398","api2045","EfaB_MINUS_15745.g1417","conserved"
"1399","api2051","EfaB_MINUS_31498.g2407","conserved"
"1400","api2058","EfaB_PLUS_18869.g1598","conserved"
"1401","api206","EfaB_MINUS_17096.g1512","conserved"
"1402","api2065","EfaB_MINUS_43533.g2783","conserved"
"1403","api2069","EfaB_PLUS_13222.g1119","conserved"
"1404","api207","EfaB_MINUS_40565.g2659","conserved"
"1405","api2071","EfaB_PLUS_26136.g2131","conserved"
"1406","api2075","EfaB_MINUS_6253.g579","conserved"
"1407","api2076","EfaB_MINUS_25458.g2192","conserved"
"1408","api2077","EfaB_MINUS_25052.g2118","conserved"
"1409","api208","EfaB_PLUS_8664.g845","conserved"
"1410","api2083","EfaB_MINUS_24117.g2069","conserved"
"1411","api2087","EfaB_MINUS_32601.g2474","conserved"
"1412","api2088","EfaB_MINUS_228.g20","conserved"
"1413","api209","EfaB_PLUS_7900.g809","conserved"
"1414","api2091","EfaB_MINUS_17907.g1599","conserved"
"1415","api2093","EfaB_MINUS_1974.g222","conserved"
"1416","api2094","EfaB_PLUS_3469.g361","conserved"
"1417","api2095","EfaB_MINUS_36188.g2571","conserved"
"1418","api2097","EfaB_PLUS_28105.g2228","conserved"
"1419","api2100","EfaB_PLUS_5727.g500","conserved"
"1420","api2104","EfaB_PLUS_19222.g1610","conserved"
"1421","api2106","EfaB_PLUS_23210.g1940","conserved"
"1422","api2107","EfaB_MINUS_19717.g1715","conserved"
"1423","api2108","EfaB_PLUS_6743.g625","conserved"
"1424","api2109","EfaB_PLUS_6743.g598","conserved"
"1425","api211","EfaB_MINUS_52892.g2863","conserved"
"1426","api2110","EfaB_MINUS_15648.g1381","conserved"
"1427","api2113","EfaB_PLUS_2387.g308","conserved"
"1428","api2117","EfaB_MINUS_20412.g1811","conserved"
"1429","api2118","EfaB_PLUS_22732.g1891","Apicomplexa"
"1430","api2119","EfaB_MINUS_10824.g926","Apicomplexa"
"1431","api2120","EfaB_MINUS_720.g59","conserved"
"1432","api2121","EfaB_MINUS_3881.g387","ApicomplexaC"
"1433","api2122","EfaB_MINUS_7048.g689","Apicomplexa"
"1434","api2123","EfaB_MINUS_8664.g849","conserved"
"1435","api2124","EfaB_MINUS_9917.g895","ApicomplexaC"
"1436","api2125","EfaB_PLUS_33184.g2409","Efalciformis"
"1437","api2125","EfaB_PLUS_19717.g1622","Efalciformis"
"1438","api2125","EfaB_MINUS_33184.g2504","Efalciformis"
"1439","api2125","EfaB_MINUS_11030.g959","Efalciformis"
"1440","api2125","EfaB_PLUS_11030.g941","Efalciformis"
"1441","api2126","EfaB_MINUS_20412.g1803","Apicomplexa"
"1442","api2127","EfaB_MINUS_23210.g2038","conserved"
"1443","api2128","EfaB_MINUS_34010.g2558","conserved"
"1444","api2129","EfaB_MINUS_56725.g2971","conserved"
"1445","api213","EfaB_MINUS_50714.g2846","conserved"
"1446","api2130","EfaB_PLUS_1425.g184","ApicomplexaC"
"1447","api2131","EfaB_PLUS_2387.g298","conserved"
"1448","api2132","EfaB_PLUS_7780.g806","Apicomplexa"
"1449","api2133","EfaB_PLUS_10843.g923","ApicomplexaC"
"1450","api2134","EfaB_PLUS_14881.g1217","Apicomplexa"
"1451","api2135","EfaB_PLUS_15697.g1353","Apicomplexa"
"1452","api2136","EfaB_PLUS_17400.g1502","Apicomplexa"
"1453","api2137","EfaB_PLUS_22284.g1813","Apicomplexa"
"1454","api2138","EfaB_PLUS_24117.g1986","ApicomplexaC"
"1455","api2166","EfaB_MINUS_8664.g845","ApicomplexaC"
"1456","api2167","EfaB_PLUS_2336.g248","ApicomplexaC"
"1457","api2169","EfaB_MINUS_42416.g2687","Apicomplexa"
"1458","api2170","EfaB_MINUS_19717.g1709","conserved"
"1459","api2171","EfaB_PLUS_42996.g2609","ApicomplexaC"
"1460","api2172","EfaB_MINUS_7742.g796","Apicomplexa"
"1461","api2173","EfaB_MINUS_11789.g1032","Apicomplexa"
"1462","api2174","EfaB_MINUS_11882.g1044","conserved"
"1463","api2175","EfaB_MINUS_31498.g2385","ApicomplexaC"
"1464","api2177","EfaB_PLUS_720.g53","conserved"
"1465","api2178","EfaB_PLUS_193.g7","ApicomplexaC"
"1466","api2179","EfaB_PLUS_40637.g2578","ApicomplexaC"
"1467","api2180","EfaB_MINUS_43533.g2741","conserved"
"1468","api2182","EfaB_PLUS_9917.g891","ApicomplexaC"
"1469","api2183","EfaB_MINUS_3833.g376","ApicomplexaC"
"1470","api2184","EfaB_MINUS_1068.g137","ApicomplexaC"
"1471","api2186","EfaB_PLUS_20371.g1685","Apicomplexa"
"1472","api2187","EfaB_PLUS_13227.g1130","Apicomplexa"
"1473","api2189","EfaB_MINUS_7048.g647","ApicomplexaC"
"1474","api2190","EfaB_PLUS_21549.g1778","conserved"
"1475","api2191","EfaB_MINUS_11030.g956","ApicomplexaC"
"1476","api2192","EfaB_MINUS_25019.g2111","Apicomplexa"
"1477","api2193","EfaB_PLUS_47595.g2680","ApicomplexaC"
"1478","api2194","EfaB_MINUS_8675.g865","Apicomplexa"
"1479","api2195","EfaB_PLUS_37942.g2519","conserved"
"1480","api2196","EfaB_MINUS_3407.g331","ApicomplexaC"
"1481","api2197","EfaB_MINUS_20371.g1791","conserved"
"1482","api22","EfaB_PLUS_17096.g1464","conserved"
"1483","api2200","EfaB_PLUS_50714.g2738","ApicomplexaC"
"1484","api2201","EfaB_MINUS_15745.g1420","conserved"
"1485","api2202","EfaB_MINUS_8675.g867","ApicomplexaC"
"1486","api2203","EfaB_MINUS_720.g63","Apicomplexa"
"1487","api2204","EfaB_MINUS_17195.g1550","Apicomplexa"
"1488","api2205","EfaB_PLUS_13385.g1162","conserved"
"1489","api2206","EfaB_MINUS_56725.g2905","Apicomplexa"
"1490","api2207","EfaB_MINUS_20371.g1769","Apicomplexa"
"1491","api2208","EfaB_PLUS_39892.g2556","Apicomplexa"
"1492","api2209","EfaB_PLUS_11789.g1008","Apicomplexa"
"1493","api221","EfaB_PLUS_720.g48","conserved"
"1494","api221","EfaB_PLUS_720.g49","conserved"
"1495","api221","EfaB_PLUS_7577.g718","conserved"
"1496","api2210","EfaB_PLUS_10843.g915","ApicomplexaC"
"1497","api2211","EfaB_PLUS_23210.g1932","Apicomplexa"
"1498","api2212","EfaB_MINUS_20371.g1775","ApicomplexaC"
"1499","api2214","EfaB_PLUS_7048.g669","conserved"
"1500","api2216","EfaB_PLUS_49504.g2711","conserved"
"1501","api2217","EfaB_MINUS_21840.g1877","conserved"
"1502","api2218","EfaB_PLUS_25177.g2056","ApicomplexaC"
"1503","api222","EfaB_MINUS_20371.g1725","conserved"
"1504","api2220","EfaB_MINUS_2387.g300","conserved"
"1505","api2221","EfaB_PLUS_25458.g2105","Apicomplexa"
"1506","api2222","EfaB_PLUS_25398.g2082","Apicomplexa"
"1507","api2223","EfaB_MINUS_15899.g1477","ApicomplexaC"
"1508","api2224","EfaB_MINUS_34010.g2546","conserved"
"1509","api2225","EfaB_MINUS_2526.g313","ApicomplexaC"
"1510","api2226","EfaB_MINUS_17150.g1543","ApicomplexaC"
"1511","api2227","EfaB_PLUS_22450.g1866","ApicomplexaC"
"1512","api2228","EfaB_MINUS_11030.g955","conserved"
"1513","api2229","EfaB_MINUS_1974.g215","Apicomplexa"
"1514","api223","EfaB_PLUS_27383.g2193","conserved"
"1515","api223","EfaB_PLUS_7742.g771","conserved"
"1516","api2230","EfaB_MINUS_28105.g2311","ApicomplexaC"
"1517","api2231","EfaB_PLUS_11789.g1012","ApicomplexaC"
"1518","api2232","EfaB_PLUS_13441.g1181","conserved"
"1519","api2233","EfaB_MINUS_39892.g2637","ApicomplexaC"
"1520","api2234","EfaB_PLUS_56725.g2798","conserved"
"1521","api2235","EfaB_MINUS_25177.g2131","ApicomplexaC"
"1522","api2236","EfaB_PLUS_228.g30","ApicomplexaC"
"1523","api2237","EfaB_PLUS_33184.g2407","ApicomplexaC"
"1524","api2238","EfaB_PLUS_1048.g117","ApicomplexaC"
"1525","api224","EfaB_MINUS_17195.g1552","conserved"
"1526","api2240","EfaB_PLUS_1068.g125","conserved"
"1527","api2241","EfaB_PLUS_17195.g1491","conserved"
"1528","api2243","EfaB_MINUS_23210.g2020","conserved"
"1529","api2244","EfaB_MINUS_6743.g616","ApicomplexaC"
"1530","api2245","EfaB_PLUS_15899.g1410","conserved"
"1531","api2246","EfaB_PLUS_49504.g2713","conserved"
"1532","api2248","EfaB_MINUS_21566.g1870","Apicomplexa"
"1533","api2249","EfaB_PLUS_17907.g1570","conserved"
"1534","api225","EfaB_PLUS_52892.g2766","conserved"
"1535","api2250","EfaB_PLUS_25052.g2033","ApicomplexaC"
"1536","api2252","EfaB_MINUS_13398.g1200","conserved"
"1537","api2253","EfaB_MINUS_15648.g1383","ApicomplexaC"
"1538","api2255","EfaB_MINUS_20371.g1795","ApicomplexaC"
"1539","api2256","EfaB_PLUS_7742.g746","conserved"
"1540","api2257","EfaB_PLUS_17764.g1525","ApicomplexaC"
"1541","api2258","EfaB_MINUS_14978.g1275","Apicomplexa"
"1542","api2259","EfaB_PLUS_15765.g1386","Apicomplexa"
"1543","api226","EfaB_MINUS_5788.g509","conserved"
"1544","api226","EfaB_PLUS_22732.g1894","conserved"
"1545","api2260","EfaB_MINUS_20371.g1767","conserved"
"1546","api2261","EfaB_MINUS_20437.g1848","conserved"
"1547","api2262","EfaB_PLUS_3469.g371","conserved"
"1548","api2263","EfaB_MINUS_15648.g1376","Apicomplexa"
"1549","api2264","EfaB_MINUS_24117.g2060","ApicomplexaC"
"1550","api2265","EfaB_PLUS_22450.g1868","conserved"
"1551","api2266","EfaB_MINUS_18749.g1669","conserved"
"1552","api2267","EfaB_MINUS_11414.g1021","ApicomplexaC"
"1553","api2268","EfaB_PLUS_15648.g1329","conserved"
"1554","api2269","EfaB_PLUS_32574.g2351","conserved"
"1555","api227","EfaB_MINUS_17096.g1528","conserved"
"1556","api227","EfaB_MINUS_49504.g2799","conserved"
"1557","api2270","EfaB_MINUS_37748.g2606","conserved"
"1558","api2271","EfaB_PLUS_25458.g2108","ApicomplexaC"
"1559","api2272","EfaB_MINUS_26136.g2223","conserved"
"1560","api2274","EfaB_PLUS_11414.g1000","ApicomplexaC"
"1561","api2275","EfaB_PLUS_32574.g2352","Apicomplexa"
"1562","api2276","EfaB_MINUS_1974.g220","ApicomplexaC"
"1563","api2277","EfaB_MINUS_36188.g2585","Apicomplexa"
"1564","api2278","EfaB_MINUS_13441.g1209","conserved"
"1565","api2279","EfaB_PLUS_10358.g904","Apicomplexa"
"1566","api228","EfaB_MINUS_31498.g2397","conserved"
"1567","api2280","EfaB_PLUS_20371.g1637","ApicomplexaC"
"1568","api2281","EfaB_MINUS_25190.g2155","ApicomplexaC"
"1569","api2282","EfaB_PLUS_12420.g1066","ApicomplexaC"
"1570","api2283","EfaB_MINUS_15648.g1396","conserved"
"1571","api2284","EfaB_MINUS_12302.g1082","ApicomplexaC"
"1572","api2285","EfaB_PLUS_31498.g2307","conserved"
"1573","api2286","EfaB_PLUS_7703.g721","ApicomplexaC"
"1574","api2287","EfaB_MINUS_7048.g661","ApicomplexaC"
"1575","api2288","EfaB_PLUS_43533.g2656","Apicomplexa"
"1576","api2289","EfaB_MINUS_31498.g2410","conserved"
"1577","api229","EfaB_PLUS_7703.g720","conserved"
"1578","api2290","EfaB_PLUS_19222.g1609","conserved"
"1579","api2291","EfaB_PLUS_6097.g585","ApicomplexaC"
"1580","api2293","EfaB_MINUS_25458.g2186","conserved"
"1581","api2294","EfaB_PLUS_11414.g1003","conserved"
"1582","api2295","EfaB_MINUS_7099.g707","conserved"
"1583","api2296","EfaB_PLUS_20412.g1722","Apicomplexa"
"1584","api2297","EfaB_PLUS_12420.g1065","conserved"
"1585","api2298","EfaB_PLUS_21840.g1787","ApicomplexaC"
"1586","api2299","EfaB_MINUS_2336.g261","conserved"
"1587","api23","EfaB_MINUS_12324.g1089","conserved"
"1588","api23","EfaB_PLUS_1307.g160","conserved"
"1589","api23","EfaB_PLUS_20371.g1680","conserved"
"1590","api23","EfaB_PLUS_6929.g645","conserved"
"1591","api23","EfaB_PLUS_25398.g2080","conserved"
"1592","api23","EfaB_PLUS_20412.g1725","conserved"
"1593","api230","EfaB_MINUS_15697.g1401","conserved"
"1594","api230","EfaB_MINUS_26792.g2256","conserved"
"1595","api230","EfaB_MINUS_26415.g2240","conserved"
"1596","api230","EfaB_PLUS_2643.g325","conserved"
"1597","api230","EfaB_PLUS_10843.g917","conserved"
"1598","api2300","EfaB_MINUS_9382.g889","ApicomplexaC"
"1599","api2301","EfaB_PLUS_2074.g231","ApicomplexaC"
"1600","api2302","EfaB_PLUS_22284.g1816","conserved"
"1601","api2303","EfaB_MINUS_47595.g2792","ApicomplexaC"
"1602","api2304","EfaB_PLUS_31498.g2295","conserved"
"1603","api2306","EfaB_MINUS_33184.g2493","Apicomplexa"
"1604","api2307","EfaB_PLUS_7048.g692","conserved"
"1605","api2309","EfaB_MINUS_17096.g1510","conserved"
"1606","api2310","EfaB_PLUS_7739.g728","Apicomplexa"
"1607","api2310","EfaB_MINUS_6743.g589","Apicomplexa"
"1608","api2311","EfaB_MINUS_26136.g2231","conserved"
"1609","api2312","EfaB_MINUS_42996.g2722","Apicomplexa"
"1610","api2313","EfaB_MINUS_13222.g1156","Apicomplexa"
"1611","api2314","EfaB_MINUS_15576.g1327","conserved"
"1612","api2315","EfaB_MINUS_7742.g770","ApicomplexaC"
"1613","api2316","EfaB_PLUS_4114.g424","ApicomplexaC"
"1614","api2317","EfaB_PLUS_6743.g613","conserved"
"1615","api2318","EfaB_MINUS_22732.g1967","Apicomplexa"
"1616","api2319","EfaB_MINUS_7703.g717","conserved"
"1617","api2321","EfaB_PLUS_5792.g541","ApicomplexaC"
"1618","api2322","EfaB_PLUS_1974.g213","conserved"
"1619","api2322","EfaB_MINUS_1974.g213","conserved"
"1620","api2326","EfaB_PLUS_56725.g2836","ApicomplexaC"
"1621","api2327","EfaB_PLUS_56725.g2832","ApicomplexaC"
